# Truth table
# Generated from circuit ProvaCircuit
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

 M[1..0] I[4..0] | B[1..0]  M0 M1
    11    01100  |    xx    x  x   #
    11    01101  |    xx    x  x   #
    11    01110  |    xx    x  x   #
    11    01111  |    xx    x  x   #
    11    10000  |    xx    x  x   #
    11    10001  |    xx    x  x   #
    11    10010  |    xx    x  x   #
    11    10011  |    xx    x  x   #
    11    10100  |    xx    x  x   #
    11    10101  |    xx    x  x   #
    11    10110  |    xx    x  x   #
    11    10111  |    xx    x  x   #
    11    11000  |    xx    x  x   #
    11    11001  |    xx    x  x   #
    11    11010  |    xx    x  x   #
    11    11011  |    xx    x  x   #
    11    11100  |    xx    x  x   #
    11    11101  |    xx    x  x   #
    11    11110  |    xx    x  x   #
    11    11111  |    xx    x  x   #
