# Truth table
# Generated from circuit ProvaCircuit
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

 M[1..0] I[4..0] |   C[2..0] G[1..0] SH CM
    01    01101  |      000     00   0  0     #or_rrr,
    01    01110  |      000     00   0  0     #sel_crrr, (*)
    01    01111  |      xxx     xx   0  0     #reserved,
    01    10000  |      000     00   0  0     #xor_rrr,
    01    10001  |      x11     10   0  0     #addc_rrr,
    01    10010  |      000     10   0  0     #add_rrr,
    01    10011  |      000     10   0  0     #movw_nr,
    01    10100  |      000     10   0  0     #movzb_nr,
    01    10101  |      000     10   0  0     #movsb_nr,
    01    10110  |      000     10   0  0     #movw_rn,
    01    10111  |      000     10   0  0     #movb_rn,
    01    11000  |      xxx     xx   0  0     #reserved,
    01    11001  |      xxx     xx   0  0     #reserved,
    01    11010  |      xxx     xx   0  0     #reserved,
    01    11011  |      xxx     xx   0  0     #reserved,
    01    11100  |      000     10   0  0     #br_nt,
    01    11101  |      000     10   0  0     #br_t,
    01    11110  |      000     10   0  0     #add_kq,
    01    11111  |      000     10   0  0     #jmp_k,
    10    00000  |      xxx     xx   x  x     #
    10    00001  |      xxx     xx   x  x     #
    10    00010  |      xxx     xx   x  x     #
    10    00011  |      xxx     xx   x  x     #
    10    00100  |      xxx     xx   x  x     #
    10    00101  |      xxx     xx   x  x     #
    10    00110  |      xxx     xx   x  x     #
    10    00111  |      xxx     xx   x  x     #
    10    01000  |      000     00   0  0     #movw_ar,
    10    01001  |      000     00   0  0     #movsb_ar,
    10    01010  |      000     00   0  0     #movw_ra,
    10    01011  |      000     00   0  0     #movb_ra,
    10    01100  |      000     00   0  0     #mov_kr,
    10    01101  |      000     01   0  0     #sub_kr,
    10    01110  |      000     10   0  0     #add_kr,
    10    01111  |      000     10   0  0     #lea_qr,
    10    10000  |      000     10   0  0     #movw_qr,
    10    10001  |      000     10   0  0     #movsb_qr,
    10    10010  |      000     10   0  0     #movw_rq,
    10    10011  |      000     10   0  0     #movb_rq,
    10    10100  |      000     10   0  0     #lea_mr,
    10    10101  |      000     10   0  0     #movw_mr,
    10    10110  |      000     10   0  0     #movzb_mr,
    10    10111  |      000     10   0  0     #movsb_mr,
    10    11000  |      000     10   0  0     #movw_rm,
    10    11001  |      000     10   0  0     #movb_rm,
    10    11010  |      xxx     xx   0  0     #reserved,
    10    11011  |      000     00   0  0     #and_kr,
    10    11100  |      000     01   0  1     #cmp_crk,
    10    11101  |      x11     01   0  1     #cmpc_crk,
    10    11110  |      000     00   0  0     #call_k,
    10    11111  |      000     00   0  0     #_pfix,
    11    00000  |      xxx     xx   0  0     #wait,
    11    00001  |      xxx     xx   0  0     #load_w,
    11    00010  |      xxx     xx   0  0     #load_zb,
    11    00011  |      xxx     xx   0  0     #load_sb,
    11    00100  |      xxx     xx   0  0     #store_w,
    11    00101  |      xxx     xx   0  0     #store_b,
    11    00110  |      xxx     xx   0  0     #call_k1,
    11    00111  |      xxx     xx   0  0     #call_r1,
    11    01000  |      xxx     xx   0  0     #ret1,
    11    01001  |      xxx     xx   0  0     #movw_pr_1
    11    01010  |      xxx     xx   x  x     #
    11    01011  |      xxx     xx   x  x     #
    11    01100  |      xxx     xx   x  x     #
    11    01101  |      xxx     xx   x  x     #
    11    01110  |      xxx     xx   x  x     #
    11    01111  |      xxx     xx   x  x     #
    11    10000  |      xxx     xx   x  x     #
    11    10001  |      xxx     xx   x  x     #
    11    10010  |      xxx     xx   x  x     #
    11    10011  |      xxx     xx   x  x     #
    11    10100  |      xxx     xx   x  x     #
    11    10101  |      xxx     xx   x  x     #
    11    10110  |      xxx     xx   x  x     #
    11    10111  |      xxx     xx   x  x     #
    11    11000  |      xxx     xx   x  x     #
    11    11001  |      xxx     xx   x  x     #
    11    11010  |      xxx     xx   x  x     #
    11    11011  |      xxx     xx   x  x     #
    11    11100  |      xxx     xx   x  x     #
    11    11101  |      xxx     xx   x  x     #
    11    11110  |      xxx     xx   x  x     #
    11    11111  |      xxx     xx   x  x     #
