# Truth table
# Generated from circuit CarryLookAhead
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

C0in P0 G0 P1 G1 P2 G2 P3 G3 | C1 C2 C3 C4 gP gG
 0   0  1  0  1  0  0  1  0  | 1  1  0  0  0  0 
 0   0  1  0  1  0  0  1  1  | 1  1  0  1  0  1 
 0   0  1  0  1  0  1  0  0  | 1  1  1  0  0  0 
 0   0  1  0  1  0  1  0  1  | 1  1  1  1  0  1 
 0   0  1  0  1  0  1  1  0  | 1  1  1  1  0  1 
 0   0  1  0  1  0  1  1  1  | 1  1  1  1  0  1 
 0   0  1  0  1  1  0  0  0  | 1  1  1  0  0  0 
 0   0  1  0  1  1  0  0  1  | 1  1  1  1  0  1 
 0   0  1  0  1  1  0  1  0  | 1  1  1  1  0  1 
 0   0  1  0  1  1  0  1  1  | 1  1  1  1  0  1 
 0   0  1  0  1  1  1  0  0  | 1  1  1  0  0  0 
 0   0  1  0  1  1  1  0  1  | 1  1  1  1  0  1 
 0   0  1  0  1  1  1  1  0  | 1  1  1  1  0  1 
 0   0  1  0  1  1  1  1  1  | 1  1  1  1  0  1 
 0   0  1  1  0  0  0  0  0  | 1  1  0  0  0  0 
 0   0  1  1  0  0  0  0  1  | 1  1  0  1  0  1 
 0   0  1  1  0  0  0  1  0  | 1  1  0  0  0  0 
 0   0  1  1  0  0  0  1  1  | 1  1  0  1  0  1 
 0   0  1  1  0  0  1  0  0  | 1  1  1  0  0  0 
 0   0  1  1  0  0  1  0  1  | 1  1  1  1  0  1 
 0   0  1  1  0  0  1  1  0  | 1  1  1  1  0  1 
 0   0  1  1  0  0  1  1  1  | 1  1  1  1  0  1 
 0   0  1  1  0  1  0  0  0  | 1  1  1  0  0  0 
 0   0  1  1  0  1  0  0  1  | 1  1  1  1  0  1 
 0   0  1  1  0  1  0  1  0  | 1  1  1  1  0  1 
 0   0  1  1  0  1  0  1  1  | 1  1  1  1  0  1 
 0   0  1  1  0  1  1  0  0  | 1  1  1  0  0  0 
 0   0  1  1  0  1  1  0  1  | 1  1  1  1  0  1 
 0   0  1  1  0  1  1  1  0  | 1  1  1  1  0  1 
 0   0  1  1  0  1  1  1  1  | 1  1  1  1  0  1 
 0   0  1  1  1  0  0  0  0  | 1  1  0  0  0  0 
 0   0  1  1  1  0  0  0  1  | 1  1  0  1  0  1 
 0   0  1  1  1  0  0  1  0  | 1  1  0  0  0  0 
 0   0  1  1  1  0  0  1  1  | 1  1  0  1  0  1 
 0   0  1  1  1  0  1  0  0  | 1  1  1  0  0  0 
 0   0  1  1  1  0  1  0  1  | 1  1  1  1  0  1 
 0   0  1  1  1  0  1  1  0  | 1  1  1  1  0  1 
 0   0  1  1  1  0  1  1  1  | 1  1  1  1  0  1 
 0   0  1  1  1  1  0  0  0  | 1  1  1  0  0  0 
 0   0  1  1  1  1  0  0  1  | 1  1  1  1  0  1 
 0   0  1  1  1  1  0  1  0  | 1  1  1  1  0  1 
 0   0  1  1  1  1  0  1  1  | 1  1  1  1  0  1 
 0   0  1  1  1  1  1  0  0  | 1  1  1  0  0  0 
 0   0  1  1  1  1  1  0  1  | 1  1  1  1  0  1 
 0   0  1  1  1  1  1  1  0  | 1  1  1  1  0  1 
 0   0  1  1  1  1  1  1  1  | 1  1  1  1  0  1 
 0   1  0  0  0  0  0  0  0  | 0  0  0  0  0  0 
 0   1  0  0  0  0  0  0  1  | 0  0  0  1  0  1 
 0   1  0  0  0  0  0  1  0  | 0  0  0  0  0  0 
 0   1  0  0  0  0  0  1  1  | 0  0  0  1  0  1 
 0   1  0  0  0  0  1  0  0  | 0  0  1  0  0  0 
 0   1  0  0  0  0  1  0  1  | 0  0  1  1  0  1 
 0   1  0  0  0  0  1  1  0  | 0  0  1  1  0  1 
 0   1  0  0  0  0  1  1  1  | 0  0  1  1  0  1 
 0   1  0  0  0  1  0  0  0  | 0  0  0  0  0  0 
 0   1  0  0  0  1  0  0  1  | 0  0  0  1  0  1 
 0   1  0  0  0  1  0  1  0  | 0  0  0  0  0  0 
 0   1  0  0  0  1  0  1  1  | 0  0  0  1  0  1 
 0   1  0  0  0  1  1  0  0  | 0  0  1  0  0  0 
 0   1  0  0  0  1  1  0  1  | 0  0  1  1  0  1 
 0   1  0  0  0  1  1  1  0  | 0  0  1  1  0  1 
 0   1  0  0  0  1  1  1  1  | 0  0  1  1  0  1 
 0   1  0  0  1  0  0  0  0  | 0  1  0  0  0  0 
 0   1  0  0  1  0  0  0  1  | 0  1  0  1  0  1 
 0   1  0  0  1  0  0  1  0  | 0  1  0  0  0  0 
 0   1  0  0  1  0  0  1  1  | 0  1  0  1  0  1 
 0   1  0  0  1  0  1  0  0  | 0  1  1  0  0  0 
 0   1  0  0  1  0  1  0  1  | 0  1  1  1  0  1 
 0   1  0  0  1  0  1  1  0  | 0  1  1  1  0  1 
 0   1  0  0  1  0  1  1  1  | 0  1  1  1  0  1 
 0   1  0  0  1  1  0  0  0  | 0  1  1  0  0  0 
 0   1  0  0  1  1  0  0  1  | 0  1  1  1  0  1 
 0   1  0  0  1  1  0  1  0  | 0  1  1  1  0  1 
 0   1  0  0  1  1  0  1  1  | 0  1  1  1  0  1 
 0   1  0  0  1  1  1  0  0  | 0  1  1  0  0  0 
 0   1  0  0  1  1  1  0  1  | 0  1  1  1  0  1 
 0   1  0  0  1  1  1  1  0  | 0  1  1  1  0  1 
 0   1  0  0  1  1  1  1  1  | 0  1  1  1  0  1 
 0   1  0  1  0  0  0  0  0  | 0  0  0  0  0  0 
 0   1  0  1  0  0  0  0  1  | 0  0  0  1  0  1 
 0   1  0  1  0  0  0  1  0  | 0  0  0  0  0  0 
 0   1  0  1  0  0  0  1  1  | 0  0  0  1  0  1 
 0   1  0  1  0  0  1  0  0  | 0  0  1  0  0  0 
 0   1  0  1  0  0  1  0  1  | 0  0  1  1  0  1 
 0   1  0  1  0  0  1  1  0  | 0  0  1  1  0  1 
 0   1  0  1  0  0  1  1  1  | 0  0  1  1  0  1 
 0   1  0  1  0  1  0  0  0  | 0  0  0  0  0  0 
 0   1  0  1  0  1  0  0  1  | 0  0  0  1  0  1 
 0   1  0  1  0  1  0  1  0  | 0  0  0  0  1  0 
 0   1  0  1  0  1  0  1  1  | 0  0  0  1  1  1 
 0   1  0  1  0  1  1  0  0  | 0  0  1  0  0  0 
 0   1  0  1  0  1  1  0  1  | 0  0  1  1  0  1 
 0   1  0  1  0  1  1  1  0  | 0  0  1  1  1  1 
 0   1  0  1  0  1  1  1  1  | 0  0  1  1  1  1 
 0   1  0  1  1  0  0  0  0  | 0  1  0  0  0  0 
 0   1  0  1  1  0  0  0  1  | 0  1  0  1  0  1 
 0   1  0  1  1  0  0  1  0  | 0  1  0  0  0  0 
 0   1  0  1  1  0  0  1  1  | 0  1  0  1  0  1 
 0   1  0  1  1  0  1  0  0  | 0  1  1  0  0  0 
 0   1  0  1  1  0  1  0  1  | 0  1  1  1  0  1 
 0   1  0  1  1  0  1  1  0  | 0  1  1  1  0  1 
 0   1  0  1  1  0  1  1  1  | 0  1  1  1  0  1 
 0   1  0  1  1  1  0  0  0  | 0  1  1  0  0  0 
 0   1  0  1  1  1  0  0  1  | 0  1  1  1  0  1 
 0   1  0  1  1  1  0  1  0  | 0  1  1  1  1  1 
 0   1  0  1  1  1  0  1  1  | 0  1  1  1  1  1 
 0   1  0  1  1  1  1  0  0  | 0  1  1  0  0  0 
 0   1  0  1  1  1  1  0  1  | 0  1  1  1  0  1 
 0   1  0  1  1  1  1  1  0  | 0  1  1  1  1  1 
 0   1  0  1  1  1  1  1  1  | 0  1  1  1  1  1 
 0   1  1  0  0  0  0  0  0  | 1  0  0  0  0  0 
 0   1  1  0  0  0  0  0  1  | 1  0  0  1  0  1 
 0   1  1  0  0  0  0  1  0  | 1  0  0  0  0  0 
 0   1  1  0  0  0  0  1  1  | 1  0  0  1  0  1 
 0   1  1  0  0  0  1  0  0  | 1  0  1  0  0  0 
 0   1  1  0  0  0  1  0  1  | 1  0  1  1  0  1 
 0   1  1  0  0  0  1  1  0  | 1  0  1  1  0  1 
 0   1  1  0  0  0  1  1  1  | 1  0  1  1  0  1 
 0   1  1  0  0  1  0  0  0  | 1  0  0  0  0  0 
 0   1  1  0  0  1  0  0  1  | 1  0  0  1  0  1 
 0   1  1  0  0  1  0  1  0  | 1  0  0  0  0  0 
 0   1  1  0  0  1  0  1  1  | 1  0  0  1  0  1 
 0   1  1  0  0  1  1  0  0  | 1  0  1  0  0  0 
 0   1  1  0  0  1  1  0  1  | 1  0  1  1  0  1 
 0   1  1  0  0  1  1  1  0  | 1  0  1  1  0  1 
 0   1  1  0  0  1  1  1  1  | 1  0  1  1  0  1 
 0   1  1  0  1  0  0  0  0  | 1  1  0  0  0  0 
 0   1  1  0  1  0  0  0  1  | 1  1  0  1  0  1 
 0   1  1  0  1  0  0  1  0  | 1  1  0  0  0  0 
 0   1  1  0  1  0  0  1  1  | 1  1  0  1  0  1 
 0   1  1  0  1  0  1  0  0  | 1  1  1  0  0  0 
 0   1  1  0  1  0  1  0  1  | 1  1  1  1  0  1 
 0   1  1  0  1  0  1  1  0  | 1  1  1  1  0  1 
 0   1  1  0  1  0  1  1  1  | 1  1  1  1  0  1 
 0   1  1  0  1  1  0  0  0  | 1  1  1  0  0  0 
 0   1  1  0  1  1  0  0  1  | 1  1  1  1  0  1 
 0   1  1  0  1  1  0  1  0  | 1  1  1  1  0  1 
 0   1  1  0  1  1  0  1  1  | 1  1  1  1  0  1 
 0   1  1  0  1  1  1  0  0  | 1  1  1  0  0  0 
 0   1  1  0  1  1  1  0  1  | 1  1  1  1  0  1 
 0   1  1  0  1  1  1  1  0  | 1  1  1  1  0  1 
 0   1  1  0  1  1  1  1  1  | 1  1  1  1  0  1 
 0   1  1  1  0  0  0  0  0  | 1  1  0  0  0  0 
 0   1  1  1  0  0  0  0  1  | 1  1  0  1  0  1 
 0   1  1  1  0  0  0  1  0  | 1  1  0  0  0  0 
 0   1  1  1  0  0  0  1  1  | 1  1  0  1  0  1 
 0   1  1  1  0  0  1  0  0  | 1  1  1  0  0  0 
 0   1  1  1  0  0  1  0  1  | 1  1  1  1  0  1 
 0   1  1  1  0  0  1  1  0  | 1  1  1  1  0  1 
 0   1  1  1  0  0  1  1  1  | 1  1  1  1  0  1 
 0   1  1  1  0  1  0  0  0  | 1  1  1  0  0  0 
 0   1  1  1  0  1  0  0  1  | 1  1  1  1  0  1 
 0   1  1  1  0  1  0  1  0  | 1  1  1  1  1  1 
 0   1  1  1  0  1  0  1  1  | 1  1  1  1  1  1 
 0   1  1  1  0  1  1  0  0  | 1  1  1  0  0  0 
 0   1  1  1  0  1  1  0  1  | 1  1  1  1  0  1 
 0   1  1  1  0  1  1  1  0  | 1  1  1  1  1  1 
 0   1  1  1  0  1  1  1  1  | 1  1  1  1  1  1 
 0   1  1  1  1  0  0  0  0  | 1  1  0  0  0  0 
 0   1  1  1  1  0  0  0  1  | 1  1  0  1  0  1 
 0   1  1  1  1  0  0  1  0  | 1  1  0  0  0  0 
 0   1  1  1  1  0  0  1  1  | 1  1  0  1  0  1 
 0   1  1  1  1  0  1  0  0  | 1  1  1  0  0  0 
 0   1  1  1  1  0  1  0  1  | 1  1  1  1  0  1 
 0   1  1  1  1  0  1  1  0  | 1  1  1  1  0  1 
 0   1  1  1  1  0  1  1  1  | 1  1  1  1  0  1 
 0   1  1  1  1  1  0  0  0  | 1  1  1  0  0  0 
 0   1  1  1  1  1  0  0  1  | 1  1  1  1  0  1 
 0   1  1  1  1  1  0  1  0  | 1  1  1  1  1  1 
 0   1  1  1  1  1  0  1  1  | 1  1  1  1  1  1 
 0   1  1  1  1  1  1  0  0  | 1  1  1  0  0  0 
 0   1  1  1  1  1  1  0  1  | 1  1  1  1  0  1 
 0   1  1  1  1  1  1  1  0  | 1  1  1  1  1  1 
 0   1  1  1  1  1  1  1  1  | 1  1  1  1  1  1 
 1   0  0  0  0  0  0  0  0  | 0  0  0  0  0  0 
 1   0  0  0  0  0  0  0  1  | 0  0  0  1  0  1 
 1   0  0  0  0  0  0  1  0  | 0  0  0  0  0  0 
 1   0  0  0  0  0  0  1  1  | 0  0  0  1  0  1 
 1   0  0  0  0  0  1  0  0  | 0  0  1  0  0  0 
 1   0  0  0  0  0  1  0  1  | 0  0  1  1  0  1 
 1   0  0  0  0  0  1  1  0  | 0  0  1  1  0  1 
 1   0  0  0  0  0  1  1  1  | 0  0  1  1  0  1 
 1   0  0  0  0  1  0  0  0  | 0  0  0  0  0  0 
 1   0  0  0  0  1  0  0  1  | 0  0  0  1  0  1 
 1   0  0  0  0  1  0  1  0  | 0  0  0  0  0  0 
 1   0  0  0  0  1  0  1  1  | 0  0  0  1  0  1 
 1   0  0  0  0  1  1  0  0  | 0  0  1  0  0  0 
 1   0  0  0  0  1  1  0  1  | 0  0  1  1  0  1 
 1   0  0  0  0  1  1  1  0  | 0  0  1  1  0  1 
 1   0  0  0  0  1  1  1  1  | 0  0  1  1  0  1 
 1   0  0  0  1  0  0  0  0  | 0  1  0  0  0  0 
 1   0  0  0  1  0  0  0  1  | 0  1  0  1  0  1 
 1   0  0  0  1  0  0  1  0  | 0  1  0  0  0  0 
 1   0  0  0  1  0  0  1  1  | 0  1  0  1  0  1 
 1   0  0  0  1  0  1  0  0  | 0  1  1  0  0  0 
 1   0  0  0  1  0  1  0  1  | 0  1  1  1  0  1 
 1   0  0  0  1  0  1  1  0  | 0  1  1  1  0  1 
 1   0  0  0  1  0  1  1  1  | 0  1  1  1  0  1 
 1   0  0  0  1  1  0  0  0  | 0  1  1  0  0  0 
 1   0  0  0  1  1  0  0  1  | 0  1  1  1  0  1 
 1   0  0  0  1  1  0  1  0  | 0  1  1  1  0  1 
 1   0  0  0  1  1  0  1  1  | 0  1  1  1  0  1 
 1   0  0  0  1  1  1  0  0  | 0  1  1  0  0  0 
 1   0  0  0  1  1  1  0  1  | 0  1  1  1  0  1 
 1   0  0  0  1  1  1  1  0  | 0  1  1  1  0  1 
 1   0  0  0  1  1  1  1  1  | 0  1  1  1  0  1 
 1   0  0  1  0  0  0  0  0  | 0  0  0  0  0  0 
 1   0  0  1  0  0  0  0  1  | 0  0  0  1  0  1 
 1   0  0  1  0  0  0  1  0  | 0  0  0  0  0  0 
 1   0  0  1  0  0  0  1  1  | 0  0  0  1  0  1 
 1   0  0  1  0  0  1  0  0  | 0  0  1  0  0  0 
 1   0  0  1  0  0  1  0  1  | 0  0  1  1  0  1 
 1   0  0  1  0  0  1  1  0  | 0  0  1  1  0  1 
 1   0  0  1  0  0  1  1  1  | 0  0  1  1  0  1 
 1   0  0  1  0  1  0  0  0  | 0  0  0  0  0  0 
 1   0  0  1  0  1  0  0  1  | 0  0  0  1  0  1 
 1   0  0  1  0  1  0  1  0  | 0  0  0  0  0  0 
 1   0  0  1  0  1  0  1  1  | 0  0  0  1  0  1 
 1   0  0  1  0  1  1  0  0  | 0  0  1  0  0  0 
 1   0  0  1  0  1  1  0  1  | 0  0  1  1  0  1 
 1   0  0  1  0  1  1  1  0  | 0  0  1  1  0  1 
 1   0  0  1  0  1  1  1  1  | 0  0  1  1  0  1 
 1   0  0  1  1  0  0  0  0  | 0  1  0  0  0  0 
 1   0  0  1  1  0  0  0  1  | 0  1  0  1  0  1 
 1   0  0  1  1  0  0  1  0  | 0  1  0  0  0  0 
 1   0  0  1  1  0  0  1  1  | 0  1  0  1  0  1 
 1   0  0  1  1  0  1  0  0  | 0  1  1  0  0  0 
 1   0  0  1  1  0  1  0  1  | 0  1  1  1  0  1 
 1   0  0  1  1  0  1  1  0  | 0  1  1  1  0  1 
 1   0  0  1  1  0  1  1  1  | 0  1  1  1  0  1 
 1   0  0  1  1  1  0  0  0  | 0  1  1  0  0  0 
 1   0  0  1  1  1  0  0  1  | 0  1  1  1  0  1 
 1   0  0  1  1  1  0  1  0  | 0  1  1  1  0  1 
 1   0  0  1  1  1  0  1  1  | 0  1  1  1  0  1 
 1   0  0  1  1  1  1  0  0  | 0  1  1  0  0  0 
 1   0  0  1  1  1  1  0  1  | 0  1  1  1  0  1 
 1   0  0  1  1  1  1  1  0  | 0  1  1  1  0  1 
 1   0  0  1  1  1  1  1  1  | 0  1  1  1  0  1 
 1   0  1  0  0  0  0  0  0  | 1  0  0  0  0  0 
 1   0  1  0  0  0  0  0  1  | 1  0  0  1  0  1 
 1   0  1  0  0  0  0  1  0  | 1  0  0  0  0  0 
 1   0  1  0  0  0  0  1  1  | 1  0  0  1  0  1 
 1   0  1  0  0  0  1  0  0  | 1  0  1  0  0  0 
 1   0  1  0  0  0  1  0  1  | 1  0  1  1  0  1 
 1   0  1  0  0  0  1  1  0  | 1  0  1  1  0  1 
 1   0  1  0  0  0  1  1  1  | 1  0  1  1  0  1 
 1   0  1  0  0  1  0  0  0  | 1  0  0  0  0  0 
 1   0  1  0  0  1  0  0  1  | 1  0  0  1  0  1 
 1   0  1  0  0  1  0  1  0  | 1  0  0  0  0  0 
 1   0  1  0  0  1  0  1  1  | 1  0  0  1  0  1 
 1   0  1  0  0  1  1  0  0  | 1  0  1  0  0  0 
 1   0  1  0  0  1  1  0  1  | 1  0  1  1  0  1 
 1   0  1  0  0  1  1  1  0  | 1  0  1  1  0  1 
 1   0  1  0  0  1  1  1  1  | 1  0  1  1  0  1 
 1   0  1  0  1  0  0  0  0  | 1  1  0  0  0  0 
 1   0  1  0  1  0  0  0  1  | 1  1  0  1  0  1 
 1   0  1  0  1  0  0  1  0  | 1  1  0  0  0  0 
 1   0  1  0  1  0  0  1  1  | 1  1  0  1  0  1 
 1   0  1  0  1  0  1  0  0  | 1  1  1  0  0  0 
 1   0  1  0  1  0  1  0  1  | 1  1  1  1  0  1 
 1   0  1  0  1  0  1  1  0  | 1  1  1  1  0  1 
 1   0  1  0  1  0  1  1  1  | 1  1  1  1  0  1 
 1   0  1  0  1  1  0  0  0  | 1  1  1  0  0  0 
 1   0  1  0  1  1  0  0  1  | 1  1  1  1  0  1 
 1   0  1  0  1  1  0  1  0  | 1  1  1  1  0  1 
 1   0  1  0  1  1  0  1  1  | 1  1  1  1  0  1 
 1   0  1  0  1  1  1  0  0  | 1  1  1  0  0  0 
 1   0  1  0  1  1  1  0  1  | 1  1  1  1  0  1 
 1   0  1  0  1  1  1  1  0  | 1  1  1  1  0  1 
 1   0  1  0  1  1  1  1  1  | 1  1  1  1  0  1 
 1   0  1  1  0  0  0  0  0  | 1  1  0  0  0  0 
 1   0  1  1  0  0  0  0  1  | 1  1  0  1  0  1 
 1   0  1  1  0  0  0  1  0  | 1  1  0  0  0  0 
 1   0  1  1  0  0  0  1  1  | 1  1  0  1  0  1 
 1   0  1  1  0  0  1  0  0  | 1  1  1  0  0  0 
 1   0  1  1  0  0  1  0  1  | 1  1  1  1  0  1 
 1   0  1  1  0  0  1  1  0  | 1  1  1  1  0  1 
 1   0  1  1  0  0  1  1  1  | 1  1  1  1  0  1 
 1   0  1  1  0  1  0  0  0  | 1  1  1  0  0  0 
 1   0  1  1  0  1  0  0  1  | 1  1  1  1  0  1 
 1   0  1  1  0  1  0  1  0  | 1  1  1  1  0  1 
 1   0  1  1  0  1  0  1  1  | 1  1  1  1  0  1 
 1   0  1  1  0  1  1  0  0  | 1  1  1  0  0  0 
 1   0  1  1  0  1  1  0  1  | 1  1  1  1  0  1 
 1   0  1  1  0  1  1  1  0  | 1  1  1  1  0  1 
 1   0  1  1  0  1  1  1  1  | 1  1  1  1  0  1 
 1   0  1  1  1  0  0  0  0  | 1  1  0  0  0  0 
 1   0  1  1  1  0  0  0  1  | 1  1  0  1  0  1 
 1   0  1  1  1  0  0  1  0  | 1  1  0  0  0  0 
 1   0  1  1  1  0  0  1  1  | 1  1  0  1  0  1 
 1   0  1  1  1  0  1  0  0  | 1  1  1  0  0  0 
 1   0  1  1  1  0  1  0  1  | 1  1  1  1  0  1 
 1   0  1  1  1  0  1  1  0  | 1  1  1  1  0  1 
 1   0  1  1  1  0  1  1  1  | 1  1  1  1  0  1 
 1   0  1  1  1  1  0  0  0  | 1  1  1  0  0  0 
 1   0  1  1  1  1  0  0  1  | 1  1  1  1  0  1 
 1   0  1  1  1  1  0  1  0  | 1  1  1  1  0  1 
 1   0  1  1  1  1  0  1  1  | 1  1  1  1  0  1 
 1   0  1  1  1  1  1  0  0  | 1  1  1  0  0  0 
 1   0  1  1  1  1  1  0  1  | 1  1  1  1  0  1 
 1   0  1  1  1  1  1  1  0  | 1  1  1  1  0  1 
 1   0  1  1  1  1  1  1  1  | 1  1  1  1  0  1 
 1   1  0  0  0  0  0  0  0  | 1  0  0  0  0  0 
 1   1  0  0  0  0  0  0  1  | 1  0  0  1  0  1 
 1   1  0  0  0  0  0  1  0  | 1  0  0  0  0  0 
 1   1  0  0  0  0  0  1  1  | 1  0  0  1  0  1 
 1   1  0  0  0  0  1  0  0  | 1  0  1  0  0  0 
 1   1  0  0  0  0  1  0  1  | 1  0  1  1  0  1 
